the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40193724484386 41.82711495277235),85,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,THAYER ST,Front,2,Platanus x acerifolia,4,No,Sidewalk Pit,2,-71.40193724,41.82711495
POINT (-71.3993460922016 41.82403574040914),59,,CHARLESFIELD CT,CHARLESFIELD CT,Charlesfield Ct,BROOK ST,THAYER ST,Front,1,Ulmus americana,4.1,No,Sidewalk Pit,1,-71.39934609,41.82403574
POINT (-71.4042772283946 41.829673318580554),32,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,2,Quercus palustris,21.9,No,Sidewalk Pit,2,-71.40427723,41.82967332
POINT (-71.39588396835852 41.829426935635645),20,,DIMAN PL,DIMAN PL,Diman Pl,STIMSON AVE,ANGELL ST,Front,1,Platanus x acerifolia,11.4,No,Sidewalk Pit,2,-71.39588397,41.82942694
POINT (-71.40223298815019 41.82901509712861),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,5,Platanus x acerifolia,3.9,No,Sidewalk Pit,2,-71.40223299,41.8290151
POINT (-71.40630669406742 41.8267474921079),41,Y,WATERMAN ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Front,2,Gleditsia triacanthos,24,No,Sidewalk Pit,2,-71.40630669,41.82674749
POINT (-71.39930706351579 41.827740421426846),121,,WATERMAN ST,BROOK ST,Brook St,WATERMAN ST,MANNING ST,Side,4,Ginkgo biloba,5,No,Sidewalk Pit,1,-71.39930706,41.82774042
POINT (-71.39914817477 41.826822252245975),346,,BROOK ST,BROOK ST,Brook St,WATERMAN ST,GEORGE ST,Rear,5,Ginkgo biloba,8,No,Sidewalk Pit,1,-71.39914817,41.82682225
POINT (-71.40312537615655 41.82727655635996),68,,BROWN ST,BROWN ST,Brown St,ANGELL ST,WATERMAN ST,Front,1,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40312538,41.82727656
POINT (-71.40162476749039 41.82723587256534),94,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,2,Gleditsia triacanthos,8,No,Sidewalk Pit,2,-71.40162477,41.82723587
POINT (-71.40644055993018 41.825581761338576),257,,BENEFIT ST,BENEFIT ST,Benefit St,GEORGE ST,COLLEGE ST,Front,1,Platanus x acerifolia,16.3,No,Sidewalk Pit,2,-71.40644056,41.82558176
POINT (-71.40338744807599 41.82790348161977),80,,BROWN ST,ANGELL ST,Angell St,BROWN ST,PROSPECT ST,Side,1,Ulmus parvifolia,8.2,No,Lawn Strip,2,-71.40338745,41.82790348
POINT (-71.3981236646515 41.82840432050447),216,,HOPE ST,ANGELL ST,Angell St,HOPE ST,BROOK ST,Side,3,Gleditsia triacanthos,17.9,No,Lawn Strip,2,-71.39812366,41.82840432
POINT (-71.3979846092029 41.824024902340206),100,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,BROOK ST,Front,3,Cornus florida,2,Yes,Sidewalk Pit,1,-71.39798461,41.8240249
POINT (-71.40678122704249 41.8275483750544),30,,WATERMAN ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Rear,5,Gleditsia triacanthos,3,No,Sidewalk Pit,2,-71.40678123,41.82754838
POINT (-71.40771432487533 41.82773774540885),195,,BENEFIT ST,BENEFIT ST,Benefit St,ANGELL ST,MEETING ST,Front,1,Platanus x acerifolia,17.2,No,Sidewalk Pit,2,-71.40771432,41.82773775
POINT (-71.40483126108619 41.827392978846305),71,,ANGELL ST,PROSPECT ST,Prospect St,ANGELL ST,WATERMAN ST,Side,2,Zelkova serrata,2,No,Sidewalk Pit,2,-71.40483126,41.82739298
POINT (-71.39677030211492 41.83259041645875),295,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,4,Pyrus calleryana,5.9,Yes,Lawn Strip,2,-71.3967703,41.83259042
POINT (-71.39278583679351 41.8307260343672),20,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,2,Acer rubrum,7.8,No,Lawn - No Sidewalk,2,-71.39278584,41.83072603
