the_geom,Address,Suffix,Street,OnStr,OnStrProper,FromStr,toStr,Side,Site,SPP,DBH,WIRES,PITTYPE,WARD,longitude,latitude
POINT (-71.40450143666122 41.827721548114155),45,,PROSPECT ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Side,2,Acer platanoides,19,No,Lawn Strip,2,-71.40450144,41.82772155
POINT (-71.40190639943769 41.82721088915545),86,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,1,Gleditsia triacanthos,16,No,Sidewalk Pit,2,-71.4019064,41.82721089
POINT (-71.39604950240347 41.82757289298485),149,Y,WATERMAN ST,WATERMAN ST,Waterman St,HOPE ST,COOKE ST,Front,4,Zelkova serrata,9,No,Sidewalk Pit,1,-71.3960495,41.82757289
POINT (-71.40468910401057 41.82624223569862),20,,PROSPECT ST,PROSPECT ST,Prospect St,WATERMAN ST,COLLEGE ST,Front,4,Ulmus spp.,3,No,Sidewalk Pit,2,-71.4046891,41.82624224
POINT (-71.39780141026549 41.82404683666532),100,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,6,Ulmus americana,3,Yes,Sidewalk Pit,1,-71.39780141,41.82404684
POINT (-71.3999973049075 41.82334801039022),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,8,Tilia cordata,10,No,Sidewalk Pit,1,-71.3999973,41.82334801
POINT (-71.39745842504848 41.82960581044367),8,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,2,Gleditsia triacanthos,8.2,No,Lawn Strip,2,-71.39745843,41.82960581
POINT (-71.40381683257222 41.828923160687154),151,,MEETING ST,MEETING ST,Meeting St,PROSPECT ST,BROWN ST,Front,1,Acer rubrum,16.7,Yes,Sidewalk Pit,2,-71.40381683,41.82892316
POINT (-71.39932333361303 41.830849807682505),273,,BOWEN ST,BOWEN ST,Bowen St,BROOK ST,HOPE ST,Front,1,Quercus alba,50,No,Sidewalk Pit,2,-71.39932333,41.83084981
POINT (-71.40751612574539 41.82743205337012),30,,WATERMAN ST,BENEFIT ST,Benefit St,WATERMAN ST,ANGELL ST,Side,2,Gleditsia triacanthos,23.1,No,Sidewalk Pit,2,-71.40751613,41.82743205
POINT (-71.39586880633959 41.82755870199979),151,,WATERMAN ST,WATERMAN ST,Waterman St,COOKE ST,HOPE ST,Front,1,Acer platanoides,3,No,Sidewalk Pit,1,-71.39586881,41.8275587
POINT (-71.3980827483126 41.82413507008997),75,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,HOPE ST,CHARLESFIELD ST,Front,1,Tilia cordata,10,No,Lawn Strip,1,-71.39808275,41.82413507
POINT (-71.3989275625161 41.8302319238064),172,,CUSHING ST,CUSHING ST,Cushing St,HOPE ST,BROOK ST,Front,1,Acer rubrum,5.4,No,Lawn Strip,2,-71.39892756,41.83023192
POINT (-71.40020172511993 41.82501944065114),135,,THAYER ST,THAYER ST,Thayer St,GEORGE ST,BENEVOLENT ST,Front,2,Platanus x acerifolia,9,No,Sidewalk Pit,1,-71.40020173,41.82501944
POINT (-71.40031362258227 41.824777034063004),112,Y,THAYER ST,THAYER ST,Thayer St,GEORGE ST,CHARLESFIELD ST,Front,1,Platanus x acerifolia,27.8,Yes,Sidewalk Pit,2,-71.40031362,41.82477703
POINT (-71.40092986057032 41.823894718479956),41,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,6,Platanus x acerifolia,29,Yes,Sidewalk Pit,2,-71.40092986,41.82389472
POINT (-71.39873372730585 41.825698408427115),182,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,4,Quercus phellos,5,No,Lawn Strip,1,-71.39873373,41.82569841
POINT (-71.40481597004393 41.82727983966908),62,,WATERMAN ST,PROSPECT ST,Prospect St,ANGELL ST,WATERMAN ST,Side,1,Gleditsia triacanthos,7,No,Sidewalk Pit,2,-71.40481597,41.82727984
POINT (-71.39571248976976 41.823392675769924),158,,POWER ST,POWER ST,Power St,HOPE ST,COOKE ST,Front,1,Tilia cordata,17,Yes,Lawn Strip,1,-71.39571249,41.82339268
POINT (-71.39864132907108 41.827412120322336),127,,WATERMAN ST,WATERMAN ST,Waterman St,HOPE ST,BROOK ST,Front,1,Ulmus americana,8,No,Sidewalk Pit,1,-71.39864133,41.82741212
POINT (-71.40380663067971 41.82464635166045),14,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BROWN ST,MAGEE ST,Front,2,Gleditsia triacanthos,6.5,No,Sidewalk Pit,2,-71.40380663,41.82464635
POINT (-71.39287985450953 41.82917859321969),367,,ANGELL ST,ANGELL ST,Angell St,ARLINGTON AVE,IVES ST,Front,2,Gleditsia triacanthos,13.7,No,Lawn Strip,1,-71.39287985,41.82917859
POINT (-71.40133017979792 41.82540663694898),127,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,8,Platanus x acerifolia,11.9,No,Sidewalk Pit,2,-71.40133018,41.82540664
POINT (-71.3925526724418 41.83088549392857),37,,ARLINGTON AVE,HUMBOLDT AVE,Humboldt Ave,ARLINGTON AVE,TABER AVE,Side,2,Acer saccharum,22,Yes,Lawn Strip,2,-71.39255267,41.83088549
POINT (-71.3948043792297 41.82906318867737),80,,STIMSON AVE,STIMSON AVE,Stimson Ave,ANGELL ST,DIMAN PL,Front,1,Fraxinus pennsylvanica,19.1,No,Lawn Strip,2,-71.39480438,41.82906319
POINT (-71.3924693361322 41.83013445689672),20,Y,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,VILLA AVE,Front,9,Acer rubrum,8,No,Lawn - No Sidewalk,2,-71.39246934,41.83013446
POINT (-71.39703556395003 41.823031682289546),122,,HOPE ST,HOPE ST,Hope St,POWER ST,WILLIAMS ST,Front,1,Ulmus spp.,4.7,No,Lawn - No Sidewalk,1,-71.39703556,41.82303168
POINT (-71.40286867168548 41.828398021202155),34,,OLIVE ST,OLIVE ST,Olive St,THAYER ST,BROWN ST,Front,1,Platanus x acerifolia,5.4,No,Sidewalk Pit,2,-71.40286867,41.82839802
POINT (-71.40047203415766 41.827063001310194),201,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,2,Gleditsia triacanthos,5,No,Sidewalk Pit,1,-71.40047203,41.827063
POINT (-71.40005202448847 41.82378643784088),56,,CHARLESFIELD ST,THAYER ST,Thayer St,CHARLESFIELD ST,POWER ST,Side,1,Tilia cordata,3,No,Sidewalk Pit,1,-71.40005202,41.82378644
POINT (-71.39574845558536 41.82674728959093),61,,COOKE ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Side,2,Pyrus calleryana,5,No,Lawn Strip,1,-71.39574846,41.82674729
POINT (-71.40352692294431 41.83020388821971),129,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,1,Ulmus americana,9.5,No,Lawn Strip,2,-71.40352692,41.83020389
POINT (-71.40044251991958 41.82680050392141),201,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,7,Gleditsia triacanthos,10,No,Sidewalk Pit,1,-71.40044252,41.8268005
POINT (-71.39420871526235 41.82902659476871),338,Y,ANGELL ST,ANGELL ST,Angell St,ARLINGTON AVE,STIMSON AVE,Front,3,Tilia spp.,2,No,Sidewalk Pit,2,-71.39420872,41.82902659
POINT (-71.3965718830605 41.82432085178281),1,,YOUNG ORCHARD AVE,YOUNG ORCHARD AVE,Young Orchard Ave,COOKE ST,HOPE ST,Front,3,Tilia cordata,1,No,Sidewalk Pit,1,-71.39657188,41.82432085
POINT (-71.39773187407057 41.83218771636977),235,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,ARLINGTON AVE,Front,7,Prunus sargentii,5.2,Yes,Lawn Strip,2,-71.39773187,41.83218772
POINT (-71.4004478942769 41.8268511411173),201,,THAYER ST,THAYER ST,Thayer St,WATERMAN ST,GEORGE ST,Front,6,Gleditsia triacanthos,11,No,Sidewalk Pit,1,-71.40044789,41.82685114
POINT (-71.40070993292342 41.83221392822333),115,,KEENE ST,KEENE ST,Keene St,THAYER ST,HOPE ST,Front,1,Acer platanoides,32.3,Yes,Sidewalk Pit,2,-71.40070993,41.83221393
POINT (-71.405211775366 41.82942354047403),76,,PROSPECT ST,PROSPECT ST,Prospect St,BOWEN ST,ANGELL ST,Front,2,Acer platanoides 'Crimson King',12,Yes,Sidewalk Pit,2,-71.40521178,41.82942354
POINT (-71.39822234713999 41.823048506318166),127,,POWER ST,POWER ST,Power St,BROOK ST,HOPE ST,Front,1,Acer platanoides,15,Yes,Sidewalk Pit,1,-71.39822235,41.82304851
POINT (-71.40009258535771 41.82821014913223),190,,ANGELL ST,ANGELL ST,Angell St,BROOK ST,THAYER ST,Front,1,Tilia americana,2.4,No,Sidewalk Pit,2,-71.40009259,41.82821015
POINT (-71.4004617860715 41.830121002585),164,,CUSHING ST,CUSHING ST,Cushing St,BROOK ST,THAYER ST,Front,2,Gleditsia triacanthos,5.8,No,Lawn Strip,2,-71.40046179,41.830121
POINT (-71.39880701012638 41.824280513371114),71,,CHARLESFIELD ST,BROOK ST,Brook St,BENEVOLENT ST,BROOK ST,Side,1,Gleditsia triacanthos,2,Yes,Sidewalk Pit,1,-71.39880701,41.82428051
POINT (-71.40141625550643 41.828443989816606),71,,OLIVE ST,OLIVE ST,Olive St,BROWN ST,THAYER ST,Front,3,Platanus x acerifolia,5,No,Sidewalk Pit,2,-71.40141626,41.82844399
POINT (-71.40718621403704 41.82677448879281),219,,BENEFIT ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Front,2,Platanus x acerifolia,15.2,No,Sidewalk Pit,2,-71.40718621,41.82677449
POINT (-71.39887252168444 41.825696905538464),182,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,5,Quercus phellos,3,No,Lawn Strip,1,-71.39887252,41.82569691
POINT (-71.40427683141945 41.82899061406761),144,,MEETING ST,MEETING ST,Meeting St,BROWN ST,PROSPECT ST,Front,2,Acer rubrum,3.3,No,Lawn Strip,2,-71.40427683,41.82899061
POINT (-71.39626886534998 41.82980467067481),30,,STIMSON AVE,STIMSON AVE,Stimson Ave,DIMAN PL,HOPE ST,Front,3,Acer rubrum,7.1,No,Lawn Strip,2,-71.39626887,41.82980467
POINT (-71.40306044963211 41.82904957325863),91,,BROWN ST,MEETING ST,Meeting St,THAYER ST,BROWN ST,Side,1,Platanus x acerifolia,6.8,Yes,Sidewalk Pit,2,-71.40306045,41.82904957
POINT (-71.40341103141441 41.82706969356328),68,,BROWN ST,WATERMAN ST,Waterman St,BROWN ST,PROSPECT ST,Side,3,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40341103,41.82706969
POINT (-71.40608652494635 41.82610488881011),54,,COLLEGE ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Front,4,Ulmus americana,4,No,Sidewalk Pit,2,-71.40608652,41.82610489
POINT (-71.40706509837405 41.82445205592879),129,Y,S MAIN ST,S MAIN ST,S Main St,COLLEGE ST,PACKET ST,Front,5,Pyrus calleryana,2,No,Sidewalk Pit,1,-71.4070651,41.82445206
POINT (-71.39555693394128 41.822773246350884),224,,WILLIAMS ST,WILLIAMS ST,Williams St,GOVERNOR ST,EAST ST,Front,2,Ginkgo biloba,10,No,Sidewalk Pit,1,-71.39555693,41.82277325
POINT (-71.40014411992135 41.824535298285596),111,,THAYER ST,THAYER ST,Thayer St,BENEVOLENT ST,CHARLESFIELD ST,Front,3,Ulmus spp.,7,No,Sidewalk Pit,1,-71.40014412,41.8245353
POINT (-71.3995655312856 41.8295452280492),449,,BROOK ST,BROOK ST,Brook St,MEETING ST,CUSHING ST,Front,2,Quercus bicolor,5.8,No,Sidewalk Pit,2,-71.39956553,41.82954523
POINT (-71.3998200603079 41.82303492382167),104,Y,POWER ST,POWER ST,Power St,HOPE ST,THAYER ST,Front,4,Tilia cordata,11,No,Sidewalk Pit,1,-71.39982006,41.82303492
POINT (-71.40675807851099 41.82784906692685),2,,CONGDON ST,CONGDON ST,Congdon St,ANGELL ST,JENCKES ST,Front,3,Ulmus parvifolia,5,No,Sidewalk Pit,2,-71.40675808,41.82784907
POINT (-71.40467850683244 41.82716991266866),64,,WATERMAN ST,PROSPECT ST,Prospect St,WATERMAN ST,ANGELL ST,Side,2,Gleditsia triacanthos,21,No,Sidewalk Pit,2,-71.40467851,41.82716991
POINT (-71.40002622195661 41.824839781174276),135,,THAYER ST,BENEVOLENT ST,Benevolent St,BROOK ST,THAYER ST,Front,1,Carpinus betulus,10,No,Sidewalk Pit,1,-71.40002622,41.82483978
POINT (-71.40804282299548 41.8283433895409),185,,BENEFIT ST,BENEFIT ST,Benefit St,ANGELL ST,MEETING ST,Front,2,Platanus x acerifolia,15.4,No,Sidewalk Pit,2,-71.40804282,41.82834339
POINT (-71.40371994941694 41.82380538848038),15,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,BROWN ST,BENEFIT ST,Front,8,Platanus x acerifolia,26.1,No,Sidewalk Pit,2,-71.40371995,41.82380539
POINT (-71.40046090738987 41.83091479171635),248,,BOWEN ST,BOWEN ST,Bowen St,BROOK ST,THAYER ST,Front,1,Styphnolobium japonicum,4.1,No,Lawn Strip,2,-71.40046091,41.83091479
POINT (-71.40361890261613 41.82779820739537),107,,ANGELL ST,ANGELL ST,Angell St,PROSPECT ST,BROWN ST,Front,1,Quercus rubra,3,No,Sidewalk Pit,2,-71.4036189,41.82779821
POINT (-71.40183577620077 41.82538365155573),127,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,3,Ulmus parvifolia,2.1,No,Sidewalk Pit,2,-71.40183578,41.82538365
POINT (-71.39796884850932 41.82307847679811),127,,POWER ST,POWER ST,Power St,BROOK ST,HOPE ST,Front,4,Celtis spp.,10,Yes,Sidewalk Pit,1,-71.39796885,41.82307848
POINT (-71.40429930656589 41.82331868382629),52,,POWER ST,BENEFIT ST,Benefit St,POWER ST,CHARLESFIELD ST,Side,4,Platanus x acerifolia,18,No,Lawn Strip,2,-71.40429931,41.82331868
POINT (-71.39760457694362 41.825794370018556),170,,HOPE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Side,2,Platanus x acerifolia,15,No,Sidewalk Pit,1,-71.39760458,41.82579437
POINT (-71.39991555956398 41.82876377056726),257,,THAYER ST,EUCLID AVE,Euclid Ave,BROOK ST,THAYER ST,Side,3,Zelkova serrata,3,No,Sidewalk Pit,2,-71.39991556,41.82876377
POINT (-71.39354366146115 41.83304427581884),12,,UNIVERSITY AVE,UNIVERSITY AVE,University Ave,TABER AVE,ARLINGTON AVE,Front,1,Acer saccharum,13,No,Lawn Strip,2,-71.39354366,41.83304428
POINT (-71.3984678534662 41.82497483242279),86,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,HOPE ST,BROOK ST,Front,1,Tilia cordata,3,No,Sidewalk Pit,1,-71.39846785,41.82497483
POINT (-71.40172123968611 41.82796759312856),135,,ANGELL ST,ANGELL ST,Angell St,BROWN ST,THAYER ST,Front,1,Platanus x acerifolia,8,No,Sidewalk Pit,2,-71.40172124,41.82796759
POINT (-71.39892646511777 41.82523383918762),305,,BROOK ST,BROOK ST,Brook St,BENEVOLENT ST,GEORGE ST,Front,1,Acer platanoides,18,Yes,Sidewalk Pit,1,-71.39892647,41.82523384
POINT (-71.40529035000833 41.8305695519064),91,,PROSPECT ST,BOWEN ST,Bowen St,PROSPECT ST,BROWN ST,Side,2,Pyrus calleryana,13.7,Yes,Lawn Strip,2,-71.40529035,41.83056955
POINT (-71.39717252810864 41.827252412960306),189,,HOPE ST,HOPE ST,Hope St,MANNING ST,HOPE ST,Front,1,Tilia cordata,12,No,Sidewalk Pit,1,-71.39717253,41.82725241
POINT (-71.39841322320562 41.82572040204387),182,,GEORGE ST,GEORGE ST,George St,HOPE ST,BROOK ST,Front,2,Tilia cordata,11,No,Lawn Strip,1,-71.39841322,41.8257204
POINT (-71.40548369847025 41.82612887329705),62,,COLLEGE ST,COLLEGE ST,College St,PROSPECT ST,BENEFIT ST,Front,2,Ulmus spp.,5,No,Sidewalk Pit,2,-71.4054837,41.82612887
POINT (-71.40153966346566 41.82290126018463),66,,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,1,Quercus robur,6.1,No,Sidewalk Pit,2,-71.40153966,41.82290126
POINT (-71.40045602467865 41.828174173567454),180,,ANGELL ST,ANGELL ST,Angell St,BROOK ST,THAYER ST,Front,1,Gleditsia triacanthos,10.4,No,Sidewalk Pit,2,-71.40045602,41.82817417
POINT (-71.39826754729124 41.82565406187416),171,,GEORGE ST,GEORGE ST,George St,HOPE ST,GEORGE ST,Front,2,Quercus spp.,2,No,Lawn Strip,1,-71.39826755,41.82565406
POINT (-71.40034580909057 41.82502887596059),137,,GEORGE ST,THAYER ST,Thayer St,GEORGE ST,CHARLESFIELD ST,Side,3,Platanus x acerifolia,25,Yes,Sidewalk Pit,2,-71.40034581,41.82502888
POINT (-71.40718719990771 41.82712224494324),219,,BENEFIT ST,WATERMAN ST,Waterman St,BENEFIT ST,PROSPECT ST,Side,1,Gleditsia triacanthos,17,No,Sidewalk Pit,2,-71.4071872,41.82712224
POINT (-71.40284237653887 41.824589387167386),11,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,8,Gleditsia triacanthos,19.6,No,Sidewalk Pit,2,-71.40284238,41.82458939
POINT (-71.39880961254846 41.831955745201164),250,,LLOYD AVE,LLOYD AVE,Lloyd Ave,WEYMOUTH ST,HOPE ST,Front,5,Acer platanoides,17.4,No,Lawn Strip,2,-71.39880961,41.83195575
POINT (-71.40223877857046 41.823820763697874),27,,CHARLESFIELD ST,CHARLESFIELD ST,Charlesfield St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,5.5,No,Sidewalk Pit,2,-71.40223878,41.82382076
POINT (-71.4023228421527 41.82901209920342),185,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,4,Ulmus americana,2.2,No,Sidewalk Pit,2,-71.40232284,41.8290121
POINT (-71.39956810785348 41.824709075459694),65,y,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BROOK ST,THAYER ST,Rear,1,Tilia tomentosa,9,No,Sidewalk Pit,1,-71.39956811,41.82470908
POINT (-71.40034068969247 41.82818516610308),184,,ANGELL ST,ANGELL ST,Angell St,BROOK ST,THAYER ST,Front,2,Gleditsia triacanthos,8.2,No,Sidewalk Pit,2,-71.40034069,41.82818517
POINT (-71.40063439157935 41.82914200917103),269,,THAYER ST,MEETING ST,Meeting St,THAYER ST,BROOK ST,Side,1,Fraxinus pennsylvanica,7.3,No,Sidewalk Pit,2,-71.40063439,41.82914201
POINT (-71.40612098960112 41.827685429497514),48,,ANGELL ST,ANGELL ST,Angell St,PROSPECT ST,CONGDON ST,Front,2,Gleditsia triacanthos,19.2,No,Sidewalk Pit,2,-71.40612099,41.82768543
POINT (-71.40129351467824 41.82726785131397),96,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,1,Gleditsia triacanthos,18,No,Sidewalk Pit,2,-71.40129351,41.82726785
POINT (-71.39927618829718 41.82753135001794),121,,WATERMAN ST,BROOK ST,Brook St,WATERMAN ST,MANNING ST,Side,1,Quercus palustris,4,No,Sidewalk Pit,1,-71.39927619,41.82753135
POINT (-71.40788895283684 41.827108268647166),13,,WATERMAN ST,WATERMAN ST,Waterman St,S MAIN ST,BENEFIT ST,Front,3,Quercus spp.,2.8,No,Sidewalk Pit,2,-71.40788895,41.82710827
POINT (-71.4047887769222 41.8280617991985),51,,PROSPECT ST,PROSPECT ST,Prospect St,ANGELL ST,OLIVE ST,Front,2,Tilia americana,12.7,No,Sidewalk Pit,2,-71.40478878,41.8280618
POINT (-71.40701052934604 41.82591354866797),250,,BENEFIT ST,COLLEGE ST,College St,N MAIN ST,BENEFIT ST,Side,3,Platanus x acerifolia,13.1,No,Sidewalk Pit,2,-71.40701053,41.82591355
POINT (-71.40657692415839 41.82698328690353),30,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,2,Gleditsia triacanthos,4,No,Sidewalk Pit,2,-71.40657692,41.82698329
POINT (-71.39320022945358 41.83170563008065),63,,ARLINGTON AVE,ARLINGTON AVE,Arlington Ave,HUMBOLDT AVE,IRVING AVE,Front,1,Platanus x acerifolia,22,Yes,Lawn Strip,2,-71.39320023,41.83170563
POINT (-71.40482364564033 41.82831862477305),61,,PROSPECT ST,PROSPECT ST,Prospect St,OLIVE ST,MEETING ST,Front,1,Tilia americana,21.6,No,Sidewalk Pit,2,-71.40482365,41.82831862
POINT (-71.40200966448641 41.82719589910425),86,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,2,Platanus x acerifolia,7,No,Sidewalk Pit,2,-71.40200966,41.8271959
POINT (-71.40477670698374 41.827996843151396),51,,PROSPECT ST,PROSPECT ST,Prospect St,ANGELL ST,OLIVE ST,Front,1,Tilia americana,6.8,No,Sidewalk Pit,2,-71.40477671,41.82799684
POINT (-71.40688044220849 41.8261953666748),42,,COLLEGE ST,BENEFIT ST,Benefit St,COLLEGE ST,WATERMAN ST,Side,2,Platanus x acerifolia,15.9,No,Sidewalk Pit,2,-71.40688044,41.82619537
POINT (-71.40275333670041 41.82898112063188),171,,MEETING ST,MEETING ST,Meeting St,BROWN ST,THAYER ST,Front,6,Platanus x acerifolia,6.3,No,Sidewalk Pit,2,-71.40275334,41.82898112
POINT (-71.39555003333712 41.82993357974047),40,,STIMSON AVE,STIMSON AVE,Stimson Ave,ANGELL ST,DIMAN PL,Front,1,Pyrus calleryana,2.9,No,Sidewalk Pit,2,-71.39555003,41.82993358
POINT (-71.40497996715803 41.829640341734034),20,,CUSHING ST,CUSHING ST,Cushing St,BROWN ST,PROSPECT ST,Front,2,Gleditsia triacanthos,9,No,Sidewalk Pit,2,-71.40497997,41.82964034
POINT (-71.40064647348164 41.82751308147546),212,,THAYER ST,THAYER ST,Thayer St,FONES ALY,WATERMAN ST,Front,1,Prunus spp.,6,No,Sidewalk Pit,2,-71.40064647,41.82751308
POINT (-71.3972997485882 41.82744308403378),190,,HOPE ST,HOPE ST,Hope St,WATERMAN ST,GEORGE ST,Front,1,Tilia cordata,15,No,Sidewalk Pit,1,-71.39729975,41.82744308
POINT (-71.40561983053983 41.82763881447262),55,,ANGELL ST,ANGELL ST,Angell St,BENEFIT ST,PROSPECT ST,Front,3,Gleditsia triacanthos inermis,22,No,Sidewalk Pit,2,-71.40561983,41.82763881
POINT (-71.39917573408204 41.83183583358628),250,,LLOYD AVE,LLOYD AVE,Lloyd Ave,WEYMOUTH ST,HOPE ST,Front,7,Betula nigra,4.3,No,Lawn Strip,2,-71.39917573,41.83183583
POINT (-71.40347730207652 41.82993208079851),111,,BROWN ST,BROWN ST,Brown St,CUSHING ST,BOWEN ST,Front,1,Acer rubrum,1,No,Sidewalk Pit,2,-71.4034773,41.82993208
POINT (-71.39506455350188 41.82995456491275),50,,STIMSON AVE,STIMSON AVE,Stimson Ave,ANGELL ST,DIMAN PL,Front,1,Tilia cordata,36.5,No,Sidewalk Pit,2,-71.39506455,41.82995456
POINT (-71.40289114683239 41.825392899402836),72,Y,GEORGE ST,GEORGE ST,George St,BROWN ST,PROSPECT ST,Front,1,Ulmus spp.,3.4,No,Sidewalk Pit,2,-71.40289115,41.8253929
POINT (-71.39626869488235 41.82665053148646),59,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,2,Tilia cordata,6,No,Sidewalk Pit,1,-71.39626869,41.82665053
POINT (-71.40083532619941 41.8228546887466),89,,POWER ST,POWER ST,Power St,BENEFIT ST,BROOK ST,Front,1,Ulmus americana,3.75,Yes,Sidewalk Pit,1,-71.40083533,41.82285469
POINT (-71.39644606307976 41.82577326108671),225,,GEORGE ST,GEORGE ST,George St,HOPE ST,COOKE ST,Front,1,Gleditsia triacanthos,16,No,Sidewalk Pit,1,-71.39644606,41.82577326
POINT (-71.40146966862851 41.828079362716586),154,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,4,Platanus x acerifolia,6.3,No,Sidewalk Pit,2,-71.40146967,41.82807936
POINT (-71.40590396050655 41.8268739551441),42,,WATERMAN ST,WATERMAN ST,Waterman St,PROSPECT ST,BENEFIT ST,Front,1,Gleditsia triacanthos,22,No,Sidewalk Pit,2,-71.40590396,41.82687396
POINT (-71.3958701304551 41.82665241254911),63,,MANNING ST,MANNING ST,Manning St,COOKE ST,HOPE ST,Front,1,Quercus coccinea,27,No,Sidewalk Pit,1,-71.39587013,41.82665241
POINT (-71.40794365374506 41.8279426073957),188,,BENEFIT ST,BENEFIT ST,Benefit St,COURT ST,MEETING ST,Front,1,Platanus x acerifolia,18.8,No,Sidewalk Pit,12,-71.40794365,41.82794261
POINT (-71.39826582174886 41.828386332769384),216,,HOPE ST,ANGELL ST,Angell St,HOPE ST,BROOK ST,Side,4,Gleditsia triacanthos,19.7,No,Lawn Strip,2,-71.39826582,41.82838633
POINT (-71.40057892458407 41.831575311570795),168,,LLOYD AVE,LLOYD AVE,Lloyd Ave,HOPE ST,THAYER ST,Front,1,Acer platanoides,9.9,No,Sidewalk Pit,2,-71.40057892,41.83157531
POINT (-71.40408960372997 41.82454641392056),5,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,1,Tilia spp.,34.6,No,Sidewalk Pit,2,-71.4040896,41.82454641
POINT (-71.401852140823 41.82289026676858),66,,POWER ST,POWER ST,Power St,THAYER ST,BROWN ST,Front,3,Pyrus calleryana,4.7,No,Sidewalk Pit,2,-71.40185214,41.82289027
POINT (-71.40351963431586 41.82457239774791),11,,BENEVOLENT ST,BENEVOLENT ST,Benevolent St,BENEFIT ST,BROWN ST,Front,3,Gleditsia triacanthos,17.7,No,Sidewalk Pit,2,-71.40351963,41.8245724
POINT (-71.40232889173619 41.82716991266941),82,,WATERMAN ST,WATERMAN ST,Waterman St,THAYER ST,BROWN ST,Front,1,Ulmus americana,6,No,Sidewalk Pit,2,-71.40232889,41.82716991
POINT (-71.40079910241455 41.82545160834688),137,,GEORGE ST,GEORGE ST,George St,BROWN ST,THAYER ST,Front,3,Platanus x acerifolia,23,No,Sidewalk Pit,2,-71.4007991,41.82545161
POINT (-71.39895379648314 41.827388465590296),361,,BROOK ST,BROOK ST,Brook St,HOPE ST,BROOK ST,Side,1,Ulmus americana,6,No,Sidewalk Pit,1,-71.3989538,41.82738847
POINT (-71.3929951298694 41.832520661367944),16,,IRVING AVE,IRVING AVE,Irving Ave,TABER AVE,ARLINGTON AVE,Front,1,Zelkova serrata,11,No,Lawn Strip,2,-71.39299513,41.83252066
POINT (-71.40248756695145 41.827982428309895),130,,ANGELL ST,ANGELL ST,Angell St,THAYER ST,BROWN ST,Front,4,Platanus x acerifolia,7,No,Sidewalk Pit,2,-71.40248757,41.82798243
POINT (-71.40038470112145 41.82534867376814),137,,GEORGE ST,THAYER ST,Thayer St,GEORGE ST,CHARLESFIELD ST,Side,1,Platanus x acerifolia,33,Yes,Sidewalk Pit,2,-71.4003847,41.82534867
POINT (-71.39557631310664 41.82585705600038),37,,COOKE ST,GEORGE ST,George St,COOKE ST,HOPE ST,Side,1,Styphnolobium japonicum,16,No,Lawn Strip,1,-71.39557631,41.82585706
POINT (-71.40362371352548 41.82832507094208),20,,OLIVE ST,OLIVE ST,Olive St,BROWN ST,PROSPECT ST,Front,3,Quercus rubra,3,No,Sidewalk Pit,2,-71.40362371,41.82832507
