Date,Season,Location,Score,Media
"Saturday, October 18",1919,"AwayBoston, Mass.",L0-7,
"Thursday, November 28",1918,"AwayBoston, Mass.",W6-3,
"Saturday, November 18",1916,"AwayBoston, Mass.",W21-0,
"Saturday, November 13",1915,"AwayBoston, Mass.",L7-16,
"Saturday, November 14",1914,"AwayBoston, Mass.",T0-0,
"Saturday, November 15",1913,"AwayBoston, Mass.",L0-37,
"Saturday, October 26",1912,"AwayBoston, Mass.",L10-30,
"Saturday, October 28",1911,"AwayBoston, Mass.",L6-20,
"Saturday, October 22",1910,"AwayBoston, Mass.",L0-12,
"Saturday, October 23",1909,"AwayBoston, Mass.",L0-11,
"Saturday, October 31",1908,"AwayBoston, Mass.",L2-6,
"Saturday, November 2",1907,"AwayBoston, Mass.",L5-6,
"Saturday, November 3",1906,"AwayBoston, Mass.",L5-9,
"Saturday, October 28",1905,"AwayBoston, Mass.",L0-10,
"Saturday, October 24",1903,"AwayBoston, Mass.",L0-29,
"Saturday, October 25",1902,"AwayBoston, Mass.",L0-6,
"Saturday, November 2",1901,"AwayCambridge, Mass.",L0-48,
"Saturday, November 10",1900,"AwayBoston, Mass.",L6-11,
"Saturday, October 21",1899,"AwayCambridge, Mass.",L0-11,
"Saturday, November 12",1898,"AwayCambridge, Mass.",L6-17,
"Saturday, October 23",1897,"AwayCambridge, Mass.",L0-18,
"Saturday, October 17",1896,"AwayCambridge, Mass.",L0-12,
"Saturday, October 19",1895,"AwayBoston, Mass.",L6-26,
"Thursday, November 15",1894,"AwayCambridge, Mass.",L0-18,
"Thursday, October 11",1894,"AwayCambridge, Mass.",L4-18,
"Saturday, October 28",1893,"AwayCambridge, Mass.",L0-58,
