Year,Date,Home/Away,Opponent,Result,Score,Location
1928,11/10/1928,at,Dartmouth,W,14-0,"Hanover, N.H."
1928,11/17/1928,vs,New Hampshire,W,20-0,"Providence, R.I."
1928,11/24/1928,vs,Rhode Island State,W,33-7,"Providence, R.I."
1928,11/29/1928,vs,Colgate,W,16-13,"Providence, R.I."
1929,09/28/1929,at,Springfield,L,6-7,"Springfield, Mass."
1929,10/05/1929,vs,Rhode Island State,W,14-6,"Providence, R.I."
1929,10/12/1929,at,Princeton,W,13-12,"Princeton, N.J."
1929,10/19/1929,at,Yale,L,6-14,"New Haven, Conn."
1929,10/26/1929,vs,Syracuse,L,0-6,"Providence, R.I."
1929,11/02/1929,at,Holy Cross,W,15-14,"Worcester, Mass."
1929,11/09/1929,vs,Dartmouth,L,6-13,"Providence, R.I."
1929,11/16/1929,vs,Norwich,W,66-6,"Providence, R.I."
1929,11/23/1929,vs,New Hampshire,W,14-7,"Providence, R.I."
1929,11/28/1929,vs,Colgate,L,0-32,"Providence, R.I."
1930,09/27/1930,vs,Rhode Island State,W,7-0,"Providence, R.I."
1930,10/04/1930,vs,WPI,W,54-0,"Providence, R.I."
1930,10/11/1930,at,Princeton,W,7-0,"Princeton, N.J."
1930,10/18/1930,at,Yale,L,0-21,"New Haven, Conn."
1930,10/25/1930,vs,Holy Cross,W,13-0,"Providence, R.I."
1930,11/01/1930,at,Syracuse,T,16-16,"Syracuse, N.Y."
1930,11/08/1930,vs,Tufts,W,32-7,"Providence, R.I."
1930,11/15/1930,vs,Columbia,W,6-0,"Providence, R.I."
1930,11/22/1930,vs,New Hampshire,L,0-7,"Providence, R.I."
1930,11/27/1930,vs,Colgate,L,0-27,"Providence, R.I."
1931,09/26/1931,vs,Colby,W,22-0,"Providence, R.I."
1931,10/03/1931,vs,Rhode Island State,W,18-0,"Providence, R.I."
1931,10/10/1931,at,Princeton,W,19-7,"Princeton, N.J."
1931,10/17/1931,vs,Tufts,W,38-12,"Providence, R.I."
1931,10/24/1931,vs,Lehigh,W,33-0,"Providence, R.I."
1931,10/31/1931,at,Holy Cross,L,0-33,"Worcester, Mass."
1931,11/07/1931,vs,Ohio Wesleyan,W,26-13,"Providence, R.I."
1931,11/14/1931,vs,Columbia,L,7-9,"Providence, R.I."
1931,11/21/1931,vs,New Hampshire,W,19-13,"Providence, R.I."
1931,11/26/1931,vs,Colgate,L,7-13,"Providence, R.I."
1932,10/01/1932,vs,Rhode Island State,W,19-0,"Providence, R.I."
1932,10/08/1932,vs,Springfield,W,13-6,"Providence, R.I."
1932,10/15/1932,at,Yale,W,7-2,"New Haven, Conn."
1932,10/22/1932,vs,Tufts,W,11-0,"Providence, R.I."
1932,10/29/1932,at,Harvard,W,14-0,"Boston, Mass."
1932,11/05/1932,vs,Holy Cross,W,10-7,"Providence, R.I."
1932,11/12/1932,at,Columbia,W,7-6,"New York, N.Y."
1932,11/24/1932,vs,Colgate,L,0-21,"Providence, R.I."
1933,10/07/1933,vs,Rhode Island State,W,26-0,"Providence, R.I."
1933,10/14/1933,vs,Springfield,W,13-6,"Providence, R.I."
1933,10/21/1933,at,Yale,L,6-14,"New Haven, Conn."
1933,10/28/1933,at,Holy Cross,L,7-19,"Worcester, Mass."
1933,11/04/1933,vs,Princeton,L,0-33,"Providence, R.I."
1933,11/11/1933,vs,Syracuse,W,10-7,"Providence, R.I."
1933,11/18/1933,at,Harvard,L,6-12,"Boston, Mass."
1933,11/30/1933,vs,Colgate,L,0-25,"Providence, R.I."
1934,09/29/1934,vs,Boston University,W,18-0,"Providence, R.I."
1934,10/06/1934,vs,Rhode Island State,W,13-0,"Providence, R.I."
1934,10/13/1934,at,Harvard,L,0-13,"Boston, Mass."
1934,10/20/1934,at,Yale,L,0-37,"New Haven, Conn."
1934,10/27/1934,vs,Syracuse,L,0-33,"Providence, R.I."
1934,11/03/1934,vs,Springfield,W,13-7,"Providence, R.I."
1934,11/10/1934,at,Columbia,L,0-39,"New York, N.Y."
1934,11/17/1934,vs,Holy Cross,L,7-20,"Providence, R.I."
1934,11/29/1934,vs,Colgate,L,13-20,"Providence, R.I."
1935,10/05/1935,vs,Rhode Island State,L,7-13,"Providence, R.I."
1935,10/12/1935,vs,Springfield,L,0-20,"Providence, R.I."
1935,10/19/1935,vs,Dartmouth,L,0-41,"Providence, R.I."
1935,10/26/1935,at,Syracuse,L,0-19,"Syracuse, N.Y."
1935,11/02/1935,at,Harvard,L,0-33,"Boston, Mass."
1935,11/09/1935,at,Yale,L,0-20,"New Haven, Conn."
1935,11/16/1935,vs,Boston,W,14-0,"Providence, R.I."
1935,11/23/1935,at,Columbia,L,0-18,"New York, N.Y."
1935,11/28/1935,vs,Colgate,L,0-33,"Providence, R.I."
1936,09/26/1936,vs,UConn,L,0-27,"Providence, R.I."
1936,10/03/1936,vs,Rhode Island State,W,7-6,"Providence, R.I."
1936,10/10/1936,at,Harvard,L,0-28,"Boston, Mass."
1936,10/17/1936,at,Dartmouth,L,0-34,"Hanover, N.H."
1936,10/24/1936,at,Penn,L,6-48,"Philadelphia, Pa."
1936,10/31/1936,vs,Tufts,W,38-7,"Providence, R.I."
1936,11/07/1936,at,Yale,L,6-14,"New Haven, Conn."
1936,11/14/1936,at,Holy Cross,L,0-32,"Worcester, Mass."
1936,11/21/1936,vs,Colby,W,19-6,"Providence, R.I."
1936,11/26/1936,vs,Colgate,L,0-32,"Providence, R.I."
1937,09/25/1937,vs,UConn,W,20-0,"Providence, R.I."
1937,10/02/1937,vs,Rhode Island State,W,13-6,"Providence, R.I."
1937,10/09/1937,at,Harvard,L,7-34,"Boston, Mass."
1937,10/16/1937,vs,Dartmouth,L,0-41,"Providence, R.I."
1937,10/23/1937,at,Columbia,W,7-6,"New York, N.Y."
1937,10/30/1937,vs,Tufts,W,19-0,"Providence, R.I."
1937,11/06/1937,at,Yale,L,0-19,"New Haven, Conn."
1937,11/13/1937,vs,Holy Cross,L,0-7,"Providence, R.I."
1937,11/25/1937,vs,Rutgers,W,7-6,"Providence, R.I."
1938,10/01/1938,at,Harvard,W,20-13,"Boston, Mass."
1938,10/08/1938,vs,Lafayette,W,20-0,"Providence, R.I."
1938,10/15/1938,at,Dartmouth,L,13-34,"Hanover, N.H."
1938,10/22/1938,vs,Rhode Island State,W,40-21,"Providence, R.I."
1938,10/29/1938,vs,Tufts,W,48-0,"Providence, R.I."
1938,11/05/1938,at,Yale,L,14-20,"New Haven, Conn."
1938,11/11/1938,at,Holy Cross,L,12-14,"Worcester, Mass."
1938,11/24/1938,vs,Columbia,W,36-27,"Providence, R.I."
1939,09/30/1939,vs,Rhode Island State,W,34-0,"Providence, R.I."
1939,10/07/1939,vs,Amherst,W,20-14,"Providence, R.I."
1939,10/14/1939,at,Colgate,L,0-10,"Hamilton, N.Y."
1939,10/21/1939,vs,Holy Cross,L,0-20,"Providence, R.I."
1939,10/28/1939,at,Princeton,L,12-26,"Princeton, N.J."
1939,11/04/1939,vs,Tufts,W,54-7,"Providence, R.I."
1939,11/11/1939,at,Yale,T,14-14,"New Haven, Conn."
1939,11/18/1939,vs,UConn,W,41-0,"Providence, R.I."
1939,11/30/1939,vs,Rutgers,W,13-0,"Providence, R.I."
1940,09/28/1940,at,Wesleyan,W,41-0,"Middletown, Conn."
1940,10/05/1940,vs,Rhode Island State,W,20-17,"Providence, R.I."
1940,10/12/1940,vs,Colgate,L,3-20,"Providence, R.I."
1940,10/19/1940,vs,Tufts,W,26-6,"Providence, R.I."
1940,10/26/1940,vs,Holy Cross,W,9-6,"Providence, R.I."
1940,11/02/1940,at,Yale,W,6-2,"New Haven, Conn."
1940,11/09/1940,at,Army,W,13-9,"West Point, N.Y."
1940,11/16/1940,at,Harvard,L,0-14,"Boston, Mass."
1940,11/23/1940,vs,Dartmouth,L,6-20,"Providence, R.I."
1940,11/28/1940,vs,Columbia,T,0-0,"Providence, R.I."
1941,09/27/1941,vs,Wesleyan,W,20-6,"Providence, R.I."
1941,10/04/1941,at,Columbia,L,6-13,"New York, N.Y."
1941,10/11/1941,vs,Rhode Island State,W,14-7,"Providence, R.I."
1941,10/18/1941,vs,Tufts,W,28-6,"Providence, R.I."
1941,10/25/1941,at,Lafayette,W,13-0,"Easton, Pa."
1941,11/01/1941,at,Yale,W,7-0,"New Haven, Conn."
1941,11/08/1941,vs,Holy Cross,L,0-13,"Providence, R.I."
1941,11/15/1941,at,Harvard,L,7-23,"Boston, Mass."
1941,11/20/1941,vs,Rutgers,L,7-13,"Providence, R.I."
1942,10/03/1942,vs,Rhode Island State,W,28-0,"Providence, R.I."
1942,10/10/1942,at,Columbia,W,28-21,"New York, N.Y."
1942,10/17/1942,vs,Lafayette,W,7-0,"Providence, R.I."
1942,10/24/1942,at,Princeton,L,13-32,"Princeton, N.J."
1942,10/31/1942,at,Yale,L,0-27,"New Haven, Conn."
1942,11/07/1942,vs,Holy Cross,W,20-14,"Providence, R.I."
1942,11/14/1942,at,Harvard,L,0-7,"Boston, Mass."
1942,11/26/1942,vs,Colgate,L,0-13,"Providence, R.I."
1943,10/02/1943,at,Holy Cross,L,0-20,"Worcester, Mass."
1943,10/09/1943,vs,Tufts,W,35-6,"Providence, R.I."
1943,10/23/1943,vs,Camp Kilmer,W,62-3,"Providence, R.I."
1943,10/30/1943,at,Princeton,W,28-20,"Princeton, N.J."
1943,11/06/1943,at,Yale,W,21-20,"New Haven, Conn."
1943,11/13/1943,vs,Coast Guard,W,34-31,"Providence, R.I."
1943,11/20/1943,at,Army,L,0-59,"West Point, N.Y."
1943,11/25/1943,vs,Colgate,L,14-21,"Providence, R.I."
1944,09/30/1944,vs,Tufts,W,44-0,"Providence, R.I."
1944,10/07/1944,at,Army,L,7-59,"West Point, N.Y."
1944,10/21/1944,at,Holy Cross,T,24-24,"Worcester, Mass."
1944,10/28/1944,vs,Dartmouth,L,13-14,"Providence, R.I."
1944,11/04/1944,vs,Coast Guard,L,0-20,"Providence, R.I."
1944,11/11/1944,at,Yale,L,0-13,"New Haven, Conn."
1944,11/18/1944,at,Columbia,W,12-0,"New York, N.Y."
1944,11/25/1944,vs,Colgate,W,32-20,"Providence, R.I."
1945,09/29/1945,at,Penn,L,0-50,"Philadelphia, Pa."
1945,10/06/1945,vs,Boston College,W,51-6,"Providence, R.I."
1945,10/20/1945,vs,Holy Cross,L,0-25,"Providence, R.I."
1945,10/27/1945,at,Columbia,L,6-27,"New York, N.Y."
1945,11/03/1945,vs,Coast Guard,W,33-6,"Providence, R.I."
1945,11/10/1945,at,Yale,W,20-7,"New Haven, Conn."
1945,11/17/1945,vs,Harvard,L,7-14,"Providence, R.I."
1945,11/24/1945,vs,Colgate,T,6-6,"Providence, R.I."
1946,09/28/1946,vs,Canisius,W,14-6,"Providence, R.I."
1946,10/05/1946,at,Princeton,L,12-33,"Princeton, N.J."
1946,10/12/1946,vs,Rhode Island State,W,29-0,"Providence, R.I."
1946,10/19/1946,vs,Dartmouth,W,20-13,"Providence, R.I."
1946,10/26/1946,vs,Boston University,T,14-14,"Providence, R.I."
1946,11/02/1946,at,Holy Cross,L,19-21,"Worcester, Mass."
1946,11/09/1946,at,Yale,L,0-49,"New Haven, Conn."
1946,11/16/1946,at,Harvard,L,0-28,"Boston, Mass."
1946,11/28/1946,vs,Colgate,L,14-20,"Providence, R.I."
1947,09/27/1947,vs,UConn,W,33-13,"Providence, R.I."
1947,10/04/1947,at,Princeton,L,7-21,"Princeton, N.J."
1947,10/11/1947,vs,Rhode Island State,W,55-6,"Providence, R.I."
1947,10/18/1947,at,Dartmouth,L,10-13,"Hanover, N.H."
1947,10/25/1947,at,Colgate,T,13-13,"Hamilton, N.Y."
1947,11/01/1947,vs,Holy Cross,W,20-19,"Providence, R.I."
1947,11/08/1947,at,Yale,W,20-14,"New Haven, Conn."
1947,11/15/1947,at,Harvard,L,7-13,"Boston, Mass."
1947,11/27/1947,vs,Rutgers,L,20-27,"Providence, R.I."
1948,09/25/1948,at,Yale,L,13-28,"New Haven, Conn."
1948,10/02/1948,at,Princeton,W,23-20,"Princeton, N.J."
1948,10/09/1948,vs,Rhode Island State,W,33-0,"Providence, R.I."
1948,10/16/1948,at,Holy Cross,W,14-6,"Worcester, Mass."
1948,10/23/1948,vs,UConn,W,49-6,"Providence, R.I."
1948,10/30/1948,at,Rutgers,W,20-6,"Piscataway, N.J."
1948,11/06/1948,vs,Western Reserve,W,36-0,"Providence, R.I."
1948,11/13/1948,at,Harvard,L,19-30,"Boston, Mass."
1948,11/25/1948,vs,Colgate,W,35-7,"Providence, R.I."
1949,10/01/1949,vs,Holy Cross,W,28-6,"Providence, R.I."
1949,10/08/1949,vs,Rhode Island State,W,46-0,"Providence, R.I."
1949,10/15/1949,at,Princeton,L,14-27,"Princeton, N.J."
1949,10/22/1949,vs,Lehigh,W,48-0,"Providence, R.I."
1949,10/29/1949,at,Western Reserve,W,28-14,"Cleveland, Ohio"
1949,11/05/1949,at,Yale,W,14-0,"New Haven, Conn."
1949,11/12/1949,at,Harvard,W,28-14,"Boston, Mass."
1949,11/19/1949,at,Columbia,W,16-7,"New York, N.Y."
1949,11/24/1949,vs,Colgate,W,41-26,"Providence, R.I."
1950,09/30/1950,at,Yale,L,12-36,"New Haven, Conn."
1950,10/07/1950,at,Holy Cross,L,21-41,"Worcester, Mass."
1950,10/14/1950,vs,Rhode Island State,W,55-13,"Providence, R.I."
1950,10/21/1950,vs,Princeton,L,0-34,"Providence, R.I."
1950,10/28/1950,vs,Colgate,L,34-35,"Providence, R.I."
1950,11/04/1950,at,Rutgers,L,12-15,"Piscataway, N.J."
1950,11/11/1950,at,Penn,L,0-50,"Philadelphia, Pa."
1950,11/18/1950,at,Harvard,L,13-14,"Boston, Mass."
1950,11/23/1950,vs,Columbia,L,0-33,"Providence, R.I."
1951,09/29/1951,vs,Temple,L,14-20,"Providence, R.I."
1951,10/06/1951,at,Yale,W,14-13,"New Haven, Conn."
1951,10/13/1951,vs,Rhode Island State,W,20-13,"Providence, R.I."
1951,10/20/1951,vs,Colgate,L,14-32,"Providence, R.I."
1951,10/27/1951,vs,Holy Cross,L,6-41,"Providence, R.I."
1951,11/03/1951,at,Princeton,L,0-12,"Princeton, N.J."
1951,11/10/1951,vs,Rutgers,L,21-28,"Providence, R.I."
1951,11/17/1951,at,Harvard,L,21-34,"Boston, Mass."
1951,11/24/1951,at,Columbia,L,14-29,"New York, N.Y."
1952,10/04/1952,at,Yale,L,0-28,"New Haven, Conn."
1952,10/11/1952,vs,Rhode Island,L,6-7,"Providence, R.I."
1952,10/18/1952,at,Holy Cross,L,0-46,"Worcester, Mass."
1952,10/25/1952,vs,Rutgers,L,7-19,"Providence, R.I."
1952,11/01/1952,at,Princeton,L,0-39,"Princeton, N.J."
1952,11/08/1952,vs,UConn,W,21-13,"Providence, R.I."
1952,11/15/1952,vs,Harvard,W,28-21,"Providence, R.I."
1952,11/22/1952,at,Columbia,L,0-14,"New York, N.Y."
1952,11/27/1952,vs,Colgate,L,28-33,"Providence, R.I."
1953,09/26/1953,vs,Amherst,L,6-7,"Providence, R.I."
1953,10/03/1953,at,Yale,L,0-13,"New Haven, Conn."
1953,10/10/1953,vs,Rhode Island,L,13-19,"Providence, R.I."
1953,10/17/1953,at,Rutgers,W,27-20,"Piscataway, N.J."
1953,10/24/1953,vs,Holy Cross,W,6-0,"Providence, R.I."
1953,10/31/1953,at,Princeton,L,13-27,"Princeton, N.J."
1953,11/07/1953,vs,UConn,W,42-7,"Providence, R.I."
1953,11/14/1953,at,Harvard,L,20-27,"Boston, Mass."
1953,11/26/1953,vs,Colgate,T,7-7,"Providence, R.I."
1954,09/25/1954,vs,Columbia,W,18-7,"Providence, R.I."
1954,10/02/1954,at,Yale,L,24-26,"New Haven, Conn."
1954,10/09/1954,vs,Rhode Island,W,35-0,"Providence, R.I."
1954,10/16/1954,vs,Princeton,W,21-20,"Providence, R.I."
1954,10/23/1954,vs,Temple,L,14-19,"Providence, R.I."
1954,10/30/1954,at,Lehigh,W,34-6,"Bethlehem, Pa."
1954,11/06/1954,vs,Springfield,W,40-7,"Providence, R.I."
1954,11/13/1954,at,Harvard,T,21-21,"Boston, Mass."
1954,11/25/1954,vs,Colgate,W,18-14,"Providence, R.I."
1955,09/24/1955,at,Columbia,L,12-14,"New York, N.Y."
1955,10/01/1955,at,Yale,L,20-27,"New Haven, Conn."
1955,10/08/1955,vs,Dartmouth,W,7-0,"Providence, R.I."
1955,10/15/1955,vs,Rutgers,L,12-14,"Providence, R.I."
1955,10/22/1955,vs,Rhode Island,L,7-19,"Providence, R.I."
1955,10/29/1955,at,Princeton,L,7-14,"Princeton, N.J."
1955,11/05/1955,vs,Cornell,L,7-20,"Providence, R.I."
1955,11/12/1955,at,Harvard,W,14-6,"Boston, Mass."
1955,11/24/1955,vs,Colgate,L,0-25,"Providence, R.I."
1956,09/29/1956,at,Columbia,W,20-0,"New York, N.Y."
1956,10/06/1956,at,Yale,L,2-20,"New Haven, Conn."
1956,10/13/1956,vs,Dartmouth,L,7-14,"Providence, R.I."
1956,10/20/1956,at,Penn,L,7-14,"Philadelphia, Pa."
1956,10/27/1956,vs,Rhode Island,W,27-7,"Providence, R.I."
1956,11/03/1956,at,Princeton,L,7-21,"Princeton, N.J."
1956,11/10/1956,vs,Cornell,W,13-6,"Providence, R.I."
1956,11/17/1956,at,Harvard,W,21-12,"Boston, Mass."
1956,11/22/1956,vs,Colgate,W,20-0,"Providence, R.I."
1957,09/28/1957,vs,Columbia,L,20-23,"Providence, R.I."
1957,10/05/1957,at,Yale,W,21-20,"New Haven, Conn."
1957,10/12/1957,at,Dartmouth,L,0-35,"Hanover, N.H."
1957,10/19/1957,vs,Penn,W,20-0,"Providence, R.I."
1957,10/26/1957,vs,Rhode Island,W,21-0,"Providence, R.I."
1957,11/02/1957,vs,Princeton,L,0-7,"Providence, R.I."
1957,11/09/1957,at,Cornell,L,6-13,"Ithaca, N.Y."
1957,11/16/1957,at,Harvard,W,33-6,"Boston, Mass."
1957,11/28/1957,vs,Colgate,W,33-7,"Providence, R.I."
1958,09/27/1958,at,Columbia,W,22-0,"New York, N.Y."
1958,10/04/1958,vs,Yale,W,35-29,"Providence, R.I."
1958,10/11/1958,vs,Dartmouth,L,0-20,"Providence, R.I."
1958,10/18/1958,at,Penn,L,20-21,"Philadelphia, Pa."
1958,10/25/1958,vs,Rhode Island,W,47-6,"Providence, R.I."
1958,11/01/1958,at,Princeton,L,18-28,"Princeton, N.J."
1958,11/08/1958,vs,Cornell,W,12-8,"Providence, R.I."
1958,11/15/1958,at,Harvard,W,29-22,"Boston, Mass."
1958,11/27/1958,vs,Colgate,W,28-6,"Providence, R.I."
1959,09/26/1959,vs,Columbia,L,6-21,"Providence, R.I."
1959,10/03/1959,at,Yale,L,0-17,"New Haven, Conn."
1959,10/10/1959,at,Dartmouth,T,0-0,"Hanover, N.H."
1959,10/17/1959,at,Penn,L,9-36,"Philadelphia, Pa."
1959,10/24/1959,vs,Rhode Island,W,6-0,"Providence, R.I."
1959,10/31/1959,at,Princeton,L,0-7,"Princeton, N.J."
1959,11/07/1959,at,Cornell,L,0-19,"Ithaca, N.Y."
1959,11/14/1959,vs,Harvard,W,16-6,"Providence, R.I."
1959,11/26/1959,vs,Colgate,L,14-33,"Providence, R.I."
1960,09/24/1960,at,Columbia,L,0-37,"New York, N.Y."
1960,10/01/1960,at,Yale,L,0-9,"New Haven, Conn."
1960,10/08/1960,vs,Dartmouth,L,0-20,"Providence, R.I."
1960,10/15/1960,at,Penn,L,7-36,"Philadelphia, Pa."
1960,10/22/1960,vs,Rhode Island,W,36-14,"Providence, R.I."
1960,10/29/1960,at,Princeton,L,21-54,"Princeton, N.J."
1960,11/05/1960,vs,Cornell,W,7-6,"Providence, R.I."
1960,11/12/1960,at,Harvard,L,8-22,"Boston, Mass."
1960,11/19/1960,vs,Colgate,W,21-14,"Providence, R.I."
1961,09/30/1961,vs,Columbia,L,0-50,"Providence, R.I."
1961,10/07/1961,at,Yale,L,3-14,"New Haven, Conn."
1961,10/14/1961,at,Dartmouth,L,0-34,"Hanover, N.H."
1961,10/21/1961,at,Penn,L,0-7,"Philadelphia, Pa."
1961,10/28/1961,vs,Rhode Island,L,9-12,"Providence, R.I."
1961,11/04/1961,vs,Princeton,L,0-52,"Providence, R.I."
1961,11/11/1961,at,Cornell,L,0-25,"Ithaca, N.Y."
1961,11/18/1961,at,Harvard,L,6-21,"Boston, Mass."
1961,11/23/1961,vs,Colgate,L,6-30,"Providence, R.I."
1962,09/22/1962,at,Colgate,W,6-2,"Hamilton, N.Y."
1962,09/29/1962,at,Columbia,L,20-22,"New York, N.Y."
1962,10/06/1962,vs,Yale,T,6-6,"Providence, R.I."
1962,10/13/1962,vs,Dartmouth,L,0-41,"Providence, R.I."
1962,10/20/1962,at,Penn,L,15-18,"Philadelphia, Pa."
1962,10/27/1962,vs,Rhode Island,T,12-12,"Providence, R.I."
1962,11/03/1962,at,Princeton,L,12-28,"Princeton, N.J."
1962,11/10/1962,vs,Cornell,L,26-28,"Providence, R.I."
1962,11/17/1962,at,Harvard,L,19-31,"Boston, Mass."
1963,09/28/1963,vs,Columbia,L,14-41,"Providence, R.I."
1963,10/05/1963,at,Yale,W,12-7,"New Haven, Conn."
1963,10/12/1963,at,Dartmouth,L,7-14,"Hanover, N.H."
1963,10/19/1963,vs,Penn,W,41-13,"Providence, R.I."
1963,10/26/1963,vs,Rhode Island,W,33-7,"Providence, R.I."
1963,11/02/1963,at,Princeton,L,13-34,"Princeton, N.J."
1963,11/09/1963,at,Cornell,L,25-28,"Ithaca, N.Y."
1963,11/16/1963,vs,Harvard,L,12-24,"Providence, R.I."
1964,09/26/1964,vs,Lafayette,W,20-3,"Providence, R.I."
1964,10/03/1964,vs,Penn,W,3-0,"Providence, R.I."
1964,10/10/1964,at,Yale,L,7-15,"New Haven, Conn."
1964,10/17/1964,at,Dartmouth,L,14-24,"Hanover, N.H."
1964,10/24/1964,vs,Rhode Island,W,30-14,"Providence, R.I."
1964,10/31/1964,vs,Princeton,L,0-14,"Providence, R.I."
1964,11/07/1964,vs,Cornell,W,31-28,"Providence, R.I."
1964,11/14/1964,at,Harvard,L,7-19,"Boston, Mass."
1964,11/21/1964,vs,Columbia,W,7-0,"Providence, R.I."
1965,09/25/1965,vs,Rhode Island,L,6-14,"Providence, R.I."
1965,10/02/1965,at,Penn,L,0-7,"Philadelphia, Pa."
1965,10/09/1965,vs,Yale,L,0-3,"Providence, R.I."
1965,10/16/1965,vs,Dartmouth,L,9-35,"Providence, R.I."
1965,10/23/1965,vs,Colgate,W,6-0,"Providence, R.I."
1965,10/30/1965,at,Princeton,L,27-45,"Princeton, N.J."
1965,11/06/1965,at,Cornell,L,21-41,"Ithaca, N.Y."
1965,11/13/1965,vs,Harvard,L,8-17,"Providence, R.I."
1965,11/20/1965,at,Columbia,W,51-7,"New York, N.Y."
1966,09/24/1966,vs,Rhode Island,W,40-14,"Providence, R.I."
1966,10/01/1966,vs,Penn,L,0-20,"Providence, R.I."
1966,10/08/1966,at,Yale,L,0-24,"New Haven, Conn."
1966,10/15/1966,at,Dartmouth,L,14-49,"Hanover, N.H."
1966,10/22/1966,vs,Colgate,L,7-48,"Providence, R.I."
1966,10/29/1966,vs,Princeton,L,17-24,"Providence, R.I."
1966,11/05/1966,vs,Cornell,L,14-23,"Providence, R.I."
1966,11/12/1966,at,Harvard,L,7-24,"Boston, Mass."
1966,11/19/1966,at,Columbia,L,38-40,"New York, N.Y."
1967,09/30/1967,vs,Rhode Island,L,8-12,"Providence, R.I."
1967,10/07/1967,at,Penn,L,7-28,"Philadelphia, Pa."
1967,10/14/1967,vs,Yale,L,0-35,"Providence, R.I."
1967,10/21/1967,vs,Dartmouth,L,6-41,"Providence, R.I."
1967,10/28/1967,vs,Colgate,W,7-0,"Providence, R.I."
1967,11/04/1967,at,Princeton,L,14-48,"Princeton, N.J."
1967,11/11/1967,at,Cornell,T,14-14,"Ithaca, N.Y."
1967,11/18/1967,vs,Harvard,L,6-21,"Providence, R.I."
1967,11/25/1967,vs,Columbia,W,14-7,"Providence, R.I."
1968,09/28/1968,vs,Rhode Island,W,10-9,"Providence, R.I."
1968,10/05/1968,vs,Penn,L,13-17,"Providence, R.I."
1968,10/12/1968,at,Yale,L,13-35,"New Haven, Conn."
1968,10/19/1968,at,Dartmouth,L,0-48,"Hanover, N.H."
1968,10/26/1968,vs,Colgate,W,27-19,"Providence, R.I."
1968,11/02/1968,vs,Princeton,L,7-50,"Providence, R.I."
1968,11/09/1968,vs,Cornell,L,0-31,"Providence, R.I."
1968,11/16/1968,at,Harvard,L,7-31,"Boston, Mass."
1968,11/23/1968,at,Columbia,L,20-46,"New York, N.Y."
1969,09/27/1969,vs,Rhode Island,W,21-0,"Providence, R.I."
1969,10/04/1969,at,Penn,L,2-23,"Philadelphia, Pa."
1969,10/11/1969,vs,Yale,L,13-27,"Providence, R.I."
1969,10/18/1969,vs,Dartmouth,L,13-38,"Providence, R.I."
1969,10/25/1969,vs,Colgate,L,6-20,"Providence, R.I."
1969,11/01/1969,at,Princeton,L,6-33,"Princeton, N.J."
1969,11/08/1969,at,Cornell,L,7-14,"Ithaca, N.Y."
1969,11/15/1969,vs,Harvard,W,24-17,"Providence, R.I."
1969,11/22/1969,vs,Columbia,L,3-18,"Providence, R.I."
1970,09/26/1970,vs,Rhode Island,W,21-14,"Providence, R.I."
1970,10/03/1970,vs,Penn,L,9-17,"Providence, R.I."
1970,10/10/1970,at,Yale,L,0-28,"New Haven, Conn."
1970,10/17/1970,at,Dartmouth,L,14-42,"Hanover, N.H."
1970,10/24/1970,vs,Colgate,L,6-10,"Providence, R.I."
1970,10/31/1970,vs,Princeton,L,14-45,"Providence, R.I."
1970,11/07/1970,vs,Cornell,L,21-35,"Providence, R.I."
1970,11/14/1970,at,Harvard,L,10-17,"Boston, Mass."
1970,11/21/1970,at,Columbia,W,17-12,"New York, N.Y."
1971,09/25/1971,vs,Rhode Island,L,21-34,"Providence, R.I."
1971,10/02/1971,at,Penn,L,16-17,"Philadelphhia, Pa."
1971,10/09/1971,vs,Yale,L,10-17,"Providence, R.I."
1971,10/16/1971,vs,Dartmouth,L,7-10,"Providence, R.I."
1971,10/23/1971,at,Colgate,L,32-42,"Hamilton, N.Y."
1971,10/30/1971,at,Princeton,L,21-49,"Princeton, N.J."
1971,11/06/1971,at,Cornell,L,7-21,Ithaca. N.Y.
1971,11/13/1971,vs,Harvard,L,19-24,"Providence, R.I."
1971,11/20/1971,vs,Columbia,L,6-24,"Providence, R.I."
1972,09/23/1972,vs,Holy Cross,L,24-30,"Providence, R.I."
1972,09/30/1972,vs,Rhode Island,L,17-21,"Providence, R.I."
1972,10/07/1972,vs,Penn,W,28-20,"Providence, R.I."
1972,10/14/1972,at,Yale,L,19-53,"New Haven, Conn."
1972,10/21/1972,at,Dartmouth,L,20-49,"Hanover, N.H."
1972,11/04/1972,vs,Princeton,L,10-31,"Providence, R.I."
1972,11/11/1972,vs,Cornell,L,28-48,"Providence, R.I."
1972,11/18/1972,at,Harvard,L,14-21,"Boston, Mass."
1972,11/25/1972,at,Columbia,L,12-28,"New York, N.Y."
1973,09/29/1973,vs,Rhode Island,T,20-20,"Providence, R.I."
1973,10/06/1973,at,Penn,L,20-28,"Philadelphia, Pa."
1973,10/13/1973,vs,Yale,W,34-25,"Providence, R.I."
1973,10/20/1973,vs,Dartmouth,L,16-28,"Providence, R.I."
1973,11/03/1973,at,Princeton,W,7-6,"Princeton, N.J."
1973,11/10/1973,at,Cornell,W,17-7,"Ithaca, N.Y."
1973,11/17/1973,vs,Harvard,L,32-35,"Providence, R.I."
1973,11/24/1973,vs,Columbia,W,37-14,"Providence, R.I."
