Year,Date,Home/Away,Opponent,Result,Score,Location
1897,10/30/1897,vs,Penn,L,0-40,"Providence, R.I."
1897,11/06/1897,at,Newton Athletic Assoc.,W,24-0,"Newton Centre, Mass."
1897,11/13/1897,vs,Carlisle,W,18-14,"New York, N.Y. (Polo Grounds)"
1897,11/20/1897,at,Army,L,0-42,"West Point, N.Y."
1897,11/25/1897,vs,Wesleyan,W,12-4,"Providence, R.I."
1898,10/01/1898,vs,Holy Cross,W,19-0,"Providence, R.I."
1898,10/05/1898,vs,Tufts,W,29-6,"Providence, R.I."
1898,10/08/1898,at,Penn,L,0-18,"Philadelphia, Pa."
1898,10/16/1898,vs,Colby,W,41-5,"Providence, R.I."
1898,10/19/1898,at,Yale,L,6-22,"New Haven, Conn."
1898,10/24/1898,vs,Boston College,W,6-0,"Providence, R.I."
1898,10/29/1898,vs,Princeton,L,0-23,"Providence, R.I."
1898,11/05/1898,vs,Newton Athletic Assoc.,W,16-5,"Providence, R.I."
1898,11/12/1898,at,Harvard,L,6-17,"Cambridge, Mass."
1898,11/21/1898,vs,Dartmouth,W,12-0,"Providence, R.I."
1899,09/30/1899,at,Holy Cross,W,19-0,"Worcester, Mass."
1899,10/04/1899,vs,Tufts,W,6-0,"Providence, R.I."
1899,10/07/1899,vs,Penn,T,6-6,"Providence, R.I."
1899,10/14/1899,vs,Campello,W,25-0,"Providence, R.I."
1899,10/21/1899,at,Harvard,L,0-11,"Cambridge, Mass."
1899,10/28/1899,vs,Newton Athletic Assoc.,W,35-0,"Providence, R.I."
1899,11/04/1899,at,Princeton,L,6-18,"Princeton, N.J."
1899,11/11/1899,vs,MIT,W,38-0,"Providence, R.I."
1899,11/18/1899,vs,Boston College,W,18-0,"Providence, R.I."
1899,11/25/1899,vs,Dartmouth,W,16-5,"Providence, R.I."
1899,11/30/1899,at,Chicago,L,6-17,"Chicago, Ill."
1900,09/29/1900,vs,Colby,W,27-0,"Providence, R.I."
1900,10/06/1900,vs,Holy Cross,W,18-0,"Providence, R.I."
1900,10/10/1900,vs,MIT,W,22-0,"Providence, R.I."
1900,10/13/1900,at,Penn,L,0-12,"Philadelphia, Pa."
1900,10/20/1900,at,Chicago,W,11-6,"Chicago, Ill."
1900,10/27/1900,vs,Princeton,L,5-17,"Providence, R.I."
1900,11/03/1900,vs,Neeham Athletic Club,W,12-5,"Providence, R.I."
1900,11/06/1900,vs,Tufts,W,26-5,"Providence, R.I."
1900,11/10/1900,at,Harvard,L,6-11,"Boston, Mass."
1900,11/17/1900,at,Dartmouth,W,12-5,"Hanover, N.H."
1900,11/24/1900,vs,Syracuse,T,6-6,"Providence, R.I."
1901,09/29/1901,vs,Boston College,W,12-0,"Providence, R.I."
1901,10/02/1901,vs,Colby,W,16-0,"Providence, R.I."
1901,10/05/1901,vs,Syracuse,L,0-20,"Providence, R.I."
1901,10/09/1901,vs,Manhattan College,W,6-5,"Providence, R.I."
1901,10/12/1901,at,Penn,L,0-26,"Philadelphia, Pa."
1901,10/19/1901,at,Princeton,L,0-35,"Princeton, N.J."
1901,10/26/1901,vs,Holy Cross,T,6-6,"Providence, R.I."
1901,11/02/1901,at,Harvard,L,0-48,"Cambridge, Mass."
1901,11/05/1901,at,Homestead Library & AC,L,0-34,"Allegheny City, Pa. (Exposition Park)"
1901,11/09/1901,vs,Lafayette,L,6-11,"Providence, R.I."
1901,11/16/1901,vs,Union,W,24-5,"Providence, R.I."
1901,11/28/1901,vs,Dartmouth,L,0-22,"Providence, R.I."
1902,10/01/1902,vs,Vermont,T,0-0,"Providence, R.I."
1902,10/04/1902,vs,Wesleyan,W,5-0,"Providence, R.I."
1902,10/11/1902,vs,Yale,L,0-10,"Providence, R.I."
1902,10/18/1902,at,Penn,W,15-6,"Philadelphia, Pa."
1902,10/25/1902,at,Harvard,L,0-6,"Boston, Mass."
1902,11/01/1902,at,Lafayette,L,5-6,"Easton, Pa."
1902,11/05/1902,vs,Tufts,W,45-12,"Providence, R.I."
1902,11/08/1902,at,Columbia,W,28-0,"New York, N.Y. (Polo Grounds)"
1902,11/15/1902,vs,Springfield,W,11-0,"Providence, R.I."
1902,11/23/1902,vs,Dartmouth,L,6-12,"Manchester, N.H. (Varick Park)"
1903,09/26/1903,vs,Colby,W,23-0,"Providence, R.I."
1903,10/03/1903,vs,Wesleyan,W,11-0,"Providence, R.I."
1903,10/10/1903,vs,Princeton,L,0-29,"Providence, R.I."
1903,10/17/1903,at,Penn,L,0-30,"Philadelphia, Pa."
1903,10/24/1903,at,Harvard,L,0-29,"Boston, Mass."
1903,10/31/1903,vs,Williams,W,22-0,"Providence, R.I."
1903,11/07/1903,vs,Vermont,W,24-0,"Providence, R.I."
1903,11/14/1903,vs,Syracuse,W,12-5,"Providence, R.I."
1903,11/18/1903,vs,Springfield,T,6-6,"Providence, R.I."
1903,11/26/1903,vs,Dartmouth,L,0-62,"Manchester, N.H. (Varick Park)"
1904,10/01/1904,vs,Maine,L,0-6,"Providence, R.I."
1904,10/08/1904,vs,Massachusetts,W,27-0,"Providence, R.I."
1904,10/12/1904,vs,Wesleyan,W,12-0,"Providence, R.I."
1904,10/15/1904,at,Penn,L,0-6,"Philadelphia, Pa."
1904,10/19/1904,vs,Amherst,L,0-5,"Providence, R.I."
1904,10/22/1904,vs,Bowdoin,W,22-0,"Providence, R.I."
1904,10/29/1904,vs,Vermont,W,33-0,"Providence, R.I."
1904,11/02/1904,vs,Tufts,W,41-0,"Providence, R.I."
1904,11/05/1904,at,Yale,L,0-22,"New Haven, Conn."
1904,11/12/1904,vs,Colby,W,41-0,"Providence, R.I."
1904,11/19/1904,vs,Dartmouth,L,5-12,"Boston, Mass. (Huntington Avenue Grounds)"
1905,09/27/1905,vs,Massachusetts,W,24-0,"Providence, R.I."
1905,09/30/1905,vs,New Hampshire,W,16-5,"Providence, R.I."
1905,10/04/1905,vs,WPI,W,42-0,"Providence, R.I."
1905,10/07/1905,vs,Colby,W,70-0,"Providence, R.I."
1905,10/14/1905,vs,Maine,W,34-0,"Providence, R.I."
1905,10/21/1905,at,Penn,L,6-8,"Philadelphia, Pa."
1905,10/28/1905,at,Harvard,L,0-10,"Boston, Mass."
1905,11/04/1905,vs,Syracuse,W,27-0,"Providence, R.I."
1905,11/11/1905,at,Yale,L,0-11,"New Haven, Conn."
1905,11/18/1905,vs,Vermont,W,56-0,"Providence, R.I."
1905,11/25/1905,vs,Dartmouth,L,6-24,"Springfield, Mass. (Hampden Park)"
1906,09/29/1906,vs,New Hampshire,W,12-0,"Providence, R.I."
1906,10/06/1906,vs,Wesleyan,W,17-0,"Providence, R.I."
