Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051‐1,Double (Suite/Apartment),3,Female,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 050,BARBOUR 050 051,BARBOUR 050 051‐2,Double (Suite/Apartment),3,Female,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081‐1,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 081,BARBOUR 080 081‐2,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084‐1,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 0 APT,BARBOUR 080,BARBOUR 080 084,BARBOUR 080 084‐2,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐1,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐2,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 103,BARBOUR 103,BARBOUR 103‐3,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105‐1,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105‐2,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 105,BARBOUR 105,BARBOUR 105‐3,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,BARBOUR 106‐1,Double,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 106,BARBOUR 106,BARBOUR 106‐2,Double,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,BARBOUR 108‐1,Double,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1,BARBOUR 108,BARBOUR 108,BARBOUR 108‐2,Double,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 152,BARBOUR 150 152‐1,Triple (Suite/Apartment),5,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 152,BARBOUR 150 152‐2,Triple (Suite/Apartment),5,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 152,BARBOUR 150 152‐3,Triple (Suite/Apartment),5,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 155,BARBOUR 150 155‐1,Double (Suite/Apartment),5,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 150,BARBOUR 150 155,BARBOUR 150 155‐2,Double (Suite/Apartment),5,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 171,BARBOUR 170 171‐1,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 1 APT,BARBOUR 170,BARBOUR 170 171,BARBOUR 170 171‐2,Double (Suite/Apartment),4,CoEd,24‐25 Spring General Selection
