Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐1,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐2,Triple,,CoEd,24‐25 Spring General Selection
BARBOUR HALL,BARBOUR FL 2,BARBOUR 203,BARBOUR 203,BARBOUR 203‐3,Triple,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 101,BUXTON 101,BUXTON 101‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 1,BUXTON 102,BUXTON 102,BUXTON 102‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,BUXTON 201‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 201,BUXTON 201,BUXTON 201‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,BUXTON 218‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 218,BUXTON 218,BUXTON 218‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 219,BUXTON 219,BUXTON 219‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,BUXTON 220‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 2,BUXTON 220,BUXTON 220,BUXTON 220‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 301,BUXTON 301,BUXTON 301‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 302,BUXTON 302,BUXTON 302‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,BUXTON 318‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 318,BUXTON 318,BUXTON 318‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 319,BUXTON 319,BUXTON 319‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 319,BUXTON 319,BUXTON 319‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 3,BUXTON 320,BUXTON 320,BUXTON 320‐2,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418‐1,Double,,CoEd,24‐25 Spring General Selection
BUXTON HOUSE,BUXTON FL 4,BUXTON 418,BUXTON 418,BUXTON 418‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 S,CASWELL 104,CASWELL 104,CASWELL 104‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 1 S,CASWELL 104,CASWELL 104,CASWELL 104‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 1 M,CASWELL 107,CASWELL 107,CASWELL 107‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 M,CASWELL 107,CASWELL 107,CASWELL 107‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 M,CASWELL 108,CASWELL 108,CASWELL 108‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 M,CASWELL 108,CASWELL 108,CASWELL 108‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 N,CASWELL 109,CASWELL 109,CASWELL 109‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 N,CASWELL 109,CASWELL 109,CASWELL 109‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 N,CASWELL 112,CASWELL 112,CASWELL 112‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 1 N,CASWELL 112,CASWELL 112,CASWELL 112‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 2 S,CASWELL 203,CASWELL 203,CASWELL 203‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 203,CASWELL 203,CASWELL 203‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 204,CASWELL 204,CASWELL 204‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 S,CASWELL 204,CASWELL 204,CASWELL 204‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 2 M,CASWELL 205,CASWELL 205,CASWELL 205‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 2 M,CASWELL 205,CASWELL 205,CASWELL 205‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 2 N,CASWELL 212,CASWELL 212,CASWELL 212‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 2 N,CASWELL 212,CASWELL 212,CASWELL 212‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 303,CASWELL 303‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 3 S,CASWELL 303,CASWELL 303,CASWELL 303‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 3 M,CASWELL 308,CASWELL 308,CASWELL 308‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 3 M,CASWELL 308,CASWELL 308,CASWELL 308‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 3 N,CASWELL 312,CASWELL 312,CASWELL 312‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 3 N,CASWELL 312,CASWELL 312,CASWELL 312‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 S,CASWELL 403,CASWELL 403,CASWELL 403‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 403,CASWELL 403,CASWELL 403‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 404,CASWELL 404,CASWELL 404‐1,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 S,CASWELL 404,CASWELL 404,CASWELL 404‐2,Double,,CoEd,24‐25 Substance Free
CASWELL HALL,CASWELL FL 4 M,CASWELL 405,CASWELL 405,CASWELL 405‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 M,CASWELL 405,CASWELL 405,CASWELL 405‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 M,CASWELL 407,CASWELL 407,CASWELL 407‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 M,CASWELL 407,CASWELL 407,CASWELL 407‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 M,CASWELL 408,CASWELL 408,CASWELL 408‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 M,CASWELL 408,CASWELL 408,CASWELL 408‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 410,CASWELL 410,CASWELL 410‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 410,CASWELL 410,CASWELL 410‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 411,CASWELL 411,CASWELL 411‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 411,CASWELL 411,CASWELL 411‐2,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 412,CASWELL 412,CASWELL 412‐1,Double,,CoEd,24‐25 Spring General Selection
CASWELL HALL,CASWELL FL 4 N,CASWELL 412,CASWELL 412,CASWELL 412‐2,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 107,CHAPIN 107,CHAPIN 107‐1,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 107,CHAPIN 107,CHAPIN 107‐2,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 113,CHAPIN 113,CHAPIN 113‐1,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 113,CHAPIN 113,CHAPIN 113‐2,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 117,CHAPIN 117,CHAPIN 117‐1,Double,,CoEd,24‐25 Spring General Selection
CHAPIN HOUSE,CHAPIN FL 1,CHAPIN 117,CHAPIN 117,CHAPIN 117‐2,Double,,CoEd,24‐25 Spring General Selection
