Building,Floor,Suite,Room,Bed,Room Type,Suite Size (if applicable),Room Gender,Room Profile
PERKINS HALL,PERKINS FL 1,PERKINS 139,PERKINS 139,PERKINS 139‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 217,PERKINS 217,PERKINS 217‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 217,PERKINS 217,PERKINS 217‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 218,PERKINS 218,PERKINS 218‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 218,PERKINS 218,PERKINS 218‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 226,PERKINS 226,PERKINS 226‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 226,PERKINS 226,PERKINS 226‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 227,PERKINS 227,PERKINS 227‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 227,PERKINS 227,PERKINS 227‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 232,PERKINS 232,PERKINS 232‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 232,PERKINS 232,PERKINS 232‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 233,PERKINS 233,PERKINS 233‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 233,PERKINS 233,PERKINS 233‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 234,PERKINS 234,PERKINS 234‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 234,PERKINS 234,PERKINS 234‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 237,PERKINS 237,PERKINS 237‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 237,PERKINS 237,PERKINS 237‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 238,PERKINS 238,PERKINS 238‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 238,PERKINS 238,PERKINS 238‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 241,PERKINS 241,PERKINS 241‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 2,PERKINS 241,PERKINS 241,PERKINS 241‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 318,PERKINS 318,PERKINS 318‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 318,PERKINS 318,PERKINS 318‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 319,PERKINS 319,PERKINS 319‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 319,PERKINS 319,PERKINS 319‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 325,PERKINS 325,PERKINS 325‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 325,PERKINS 325,PERKINS 325‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 326,PERKINS 326,PERKINS 326‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 326,PERKINS 326,PERKINS 326‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 327,PERKINS 327,PERKINS 327‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 327,PERKINS 327,PERKINS 327‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 328,PERKINS 328,PERKINS 328‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 328,PERKINS 328,PERKINS 328‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 332,PERKINS 332,PERKINS 332‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 332,PERKINS 332,PERKINS 332‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 333,PERKINS 333,PERKINS 333‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 333,PERKINS 333,PERKINS 333‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 334,PERKINS 334,PERKINS 334‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 334,PERKINS 334,PERKINS 334‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 337,PERKINS 337,PERKINS 337‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 337,PERKINS 337,PERKINS 337‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 340,PERKINS 340,PERKINS 340‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 340,PERKINS 340,PERKINS 340‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 341,PERKINS 341,PERKINS 341‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 341,PERKINS 341,PERKINS 341‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 342,PERKINS 342,PERKINS 342‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 342,PERKINS 342,PERKINS 342‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 343,PERKINS 343,PERKINS 343‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 343,PERKINS 343,PERKINS 343‐2,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 344,PERKINS 344,PERKINS 344‐1,Double,,CoEd,24‐25 Spring General Selection
PERKINS HALL,PERKINS FL 3,PERKINS 344,PERKINS 344,PERKINS 344‐2,Double,,CoEd,24‐25 Spring General Selection
STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 259,STERNLICHT 259,STERNLICHT 259‐1,Single,,CoEd,24‐25 Wellness Single
STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 280,STERNLICHT 280,STERNLICHT 280‐1,Single,,CoEd,24‐25 Wellness Single
STERNLICHT COMMONS,STERNLICHT FL 2,STERNLICHT 281,STERNLICHT 281,STERNLICHT 281‐1,Single,,CoEd,24‐25 Wellness Single
STERNLICHT COMMONS,STERNLICHT FL 3,STERNLICHT 319,STERNLICHT 319,STERNLICHT 319‐1,Single,,CoEd,24‐25 Wellness Single
STERNLICHT COMMONS,STERNLICHT FL 3,STERNLICHT 359,STERNLICHT 359,STERNLICHT 359‐1,Single,,CoEd,24‐25 Wellness Single
STERNLICHT COMMONS,STERNLICHT FL 4,STERNLICHT 481,STERNLICHT 481,STERNLICHT 481‐1,Single,,CoEd,24‐25 Wellness Sub Free Single
,,,,,,,,
