Genre,Decade,Popularity,Location,Band,Year,Artist
Jazz & R&B,50s & 60s & 70s,0+,US,FALSE,1976,Junior Wells
Jazz & R&B,50s & 60s & 70s,0+,US,TRUE,1976,Roomful of Blues
Rock,50s & 60s & 70s,0,US,FALSE,1976,Roy Buchanan
Jazz & R&B,50s & 60s & 70s,0+,NY,FALSE,1976,The Brecker Brothers
Alternative & Folk,50s & 60s & 70s,0,NY,TRUE,1976,The Holy Modal Rounders
Jazz & R&B,50s & 60s & 70s,0+,US,FALSE,1977,Betty Carter
Jazz & R&B,50s & 60s & 70s,0+,US,FALSE,1977,Charles Mingus
Alternative & Folk,50s & 60s & 70s,0+,US,FALSE,1977,Leo Kottke
Rock,50s & 60s & 70s,0,US,TRUE,1977,Pousette-Dart Band
Jazz & R&B,50s & 60s & 70s,0,US,FALSE,1977,Rahsaan Roland Kirk
Rock,50s & 60s & 70s,0,US,TRUE,1977,Rizzz
Jazz & R&B,50s & 60s & 70s,0+,US,TRUE,1977,Roomful of Blues
Jazz & R&B,50s & 60s & 70s,0,US,TRUE,1977,The Revolutionary Ensemble
Rock,50s & 60s & 70s,200+,US,FALSE,1978,Bonnie Raitt
Jazz & R&B,50s & 60s & 70s,0+,US,TRUE,1978,Dave Brubeck Quartet
Jazz & R&B,50s & 60s & 70s,50+,Other,FALSE,1978,Isaac Stern
Jazz & R&B,50s & 60s & 70s,0+,NY,FALSE,1978,Lenny White
Rock,50s & 60s & 70s,0,US,TRUE,1978,NRBQ
Rock,50s & 60s & 70s,0,US,TRUE,1978,Rizzz
Jazz & R&B,50s & 60s & 70s,50+,US,TRUE,1978,Tower of Power
Jazz & R&B,50s & 60s & 70s,0+,US,FALSE,1979,Albert Collins
Rock,50s & 60s & 70s,50+,Canada,FALSE,1979,April Wine
Rock,50s & 60s & 70s,50+,US,TRUE,1979,Atlanta Rhythm Section
Rock,50s & 60s & 70s,0+,NY,FALSE,1979,John Hall
Jazz & R&B,50s & 60s & 70s,0+,NY,FALSE,1979,John P. Hammond
Jazz & R&B,50s & 60s & 70s,0,US,TRUE,1979,Nighthawks
Rock,50s & 60s & 70s,0,US,TRUE,1979,Pousette-Dart Band
Rock,50s & 60s & 70s,0,Other,FALSE,1979,Squeeze
Jazz & R&B,50s & 60s & 70s,0,US,TRUE,1979,Sun Ra Arkestra
Rock,50s & 60s & 70s,0,US,TRUE,1979,The Tubes
Alternative & Folk,80s,0+,US,TRUE,1980,Jorma Kaukonen and Vital Parts
Rock,80s,0,US,TRUE,1980,Robin Lane and the Chartbusters
Rock,80s,0,US,TRUE,1980,The Icons
Alternative & Folk,80s,0,US,FALSE,1980,The Mundanes
Jazz & R&B,80s,0,Other,FALSE,1981,Billy Cobham
Rock,80s,0+,NY,FALSE,1981,John Hall
